account_id,customer_id,account_type,account_status,account_balance,open_date,branch_id
ACC0000031,CUST002326,Chequing,Active,8205.51,2019-11-07,BR0023
ACC0000032,CUST000110,Chequing,Dormant,2831.29,2025-03-17,BR0032
ACC0000033,CUST002401,Line of Credit,Active,3056.24,2024-06-16,BR0036
ACC0000034,CUST003449,Chequing,Active,6117.03,2023-09-24,BR0024
ACC0000035,CUST004208,Chequing,Active,5081.56,2019-05-04,BR0060
ACC0000036,CUST001740,Savings,Active,5389.56,2019-08-29,BR0033
ACC0000037,CUST001008,Chequing,Active,2553.75,2021-06-17,BR0010
ACC0000038,CUST003779,Line of Credit,Active,6795.66,2020-07-21,BR0063
ACC0000039,CUST002813,Line of Credit,Active,15618.73,2024-05-31,BR0072
ACC0000040,CUST002685,Savings,Dormant,2919.04,2024-03-18,BR0027
ACC0000041,CUST000781,Chequing,Active,5809.48,2021-05-15,BR0069
ACC0000042,CUST004855,Savings,Dormant,9477.49,2025-10-05,BR0043
ACC0000043,CUST001539,Line of Credit,Active,2119.52,2026-02-28,BR0095
ACC0000044,CUST004006,Savings,Active,6836.65,2023-09-25,BR0074
ACC0000045,CUST004443,Line of Credit,Active,11860.53,2020-05-29,BR0095
ACC0000046,CUST000308,Line of Credit,Active,3377.42,2022-07-12,BR0007
ACC0000047,CUST002452,Chequing,Active,7237.12,2025-04-24,BR0047
ACC0000048,CUST004651,Line of Credit,Active,11382.4,2019-02-05,BR0065
ACC0000049,CUST003893,Chequing,Active,21372.85,2024-12-19,BR0069
ACC0000050,CUST000547,Savings,Active,7017.7,2024-01-04,BR0099
ACC0000051,CUST003096,Line of Credit,Active,4157.2,2018-07-25,BR0029
ACC0000052,CUST000373,Chequing,Active,1653.83,2025-03-08,BR0093
ACC0000053,CUST003362,Line of Credit,Active,4180.52,2021-10-06,BR0036
ACC0000054,CUST000684,Savings,Active,2445.72,2020-09-04,BR0011
ACC0000055,CUST002017,Savings,Active,16324.2,2020-12-01,BR0087
ACC0000056,CUST003508,Chequing,Active,10995.31,2025-02-14,BR0073
ACC0000057,CUST003608,Line of Credit,Active,3055.71,2025-01-20,BR0065
ACC0000058,CUST002026,Chequing,Active,4000.45,2025-12-23,BR0066
ACC0000059,CUST004397,Savings,Active,6948.45,2023-09-10,BR0045
ACC0000060,CUST000682,Line of Credit,Closed,11810.31,2021-05-07,BR0071
ACC0000061,CUST003490,Chequing,Active,8931.69,2020-05-23,BR0037
ACC0000062,CUST003731,Savings,Active,8437.75,2018-10-13,BR0052
ACC0000063,CUST003706,Line of Credit,Active,7524.26,2025-11-26,BR0028
ACC0000064,CUST002627,Savings,Dormant,3173.84,2020-02-11,BR0080
ACC0000065,CUST000344,Line of Credit,Active,7003.19,2024-03-18,BR0021
ACC0000066,CUST002612,Savings,Active,6505.12,2019-07-26,BR0062
ACC0000067,CUST002554,Line of Credit,Active,2420.12,2020-04-17,BR0063
ACC0000068,CUST003216,Line of Credit,Active,16097.28,2025-11-30,BR0040
ACC0000069,CUST001504,Chequing,Active,4538.17,2024-08-07,BR0039
ACC0000070,CUST002299,Savings,Active,2469.56,2019-07-13,BR0007
ACC0000071,CUST001404,Line of Credit,Active,5039.89,2020-11-21,BR0100
ACC0000072,CUST000278,Line of Credit,Dormant,5669.27,2023-05-19,BR0004
ACC0000073,CUST001189,Savings,Closed,6386.41,2025-02-19,BR0066
ACC0000074,CUST003957,Line of Credit,Active,5610.45,2020-09-25,BR0042
ACC0000075,CUST004827,Chequing,Dormant,6608.58,2020-07-08,BR0090
ACC0000076,CUST003197,Line of Credit,Active,7296.24,2020-11-11,BR0099
ACC0000077,CUST000942,Savings,Dormant,7074.07,2025-07-09,BR0056
ACC0000078,CUST004798,Savings,Active,8401.49,2018-07-27,BR0002
ACC0000079,CUST000727,Savings,Active,8695.16,2019-12-16,BR0072
ACC0000080,CUST004576,Savings,Active,8822.11,2025-08-10,BR0082
ACC0000081,CUST000836,Line of Credit,Closed,10107.31,2023-05-10,BR0087
ACC0000082,CUST001221,Savings,Active,4220.8,2021-08-23,BR0036
ACC0000083,CUST000160,Savings,Active,4321.86,2020-12-15,BR0079
ACC0000084,CUST002726,Line of Credit,Active,11840.89,2025-08-14,BR0079
ACC0000085,CUST000830,Line of Credit,Active,5137.74,2019-11-28,BR0046
ACC0000086,CUST001216,Chequing,Active,6172.04,2022-01-02,BR0020
ACC0000087,CUST000422,Line of Credit,Active,5840.39,2022-07-20,BR0081
ACC0000088,CUST004950,Chequing,Active,20942.19,2021-05-31,BR0061
ACC0000089,CUST003347,Savings,Active,3757.62,2018-09-03,BR0005
ACC0000090,CUST000426,Savings,Active,3710.29,2024-01-20,BR0022
ACC0000091,CUST001251,Savings,Active,6622.4,2020-05-09,BR0091
ACC0000092,CUST003034,Savings,Active,5942.8,2024-09-01,BR0092
ACC0000093,CUST004358,Chequing,Active,3035.3,2019-01-25,BR0079
ACC0000094,CUST003981,Chequing,Active,6298.26,2022-08-13,BR0061
ACC0000095,CUST004351,Savings,Active,6732.3,2019-03-29,BR0040
ACC0000096,CUST004323,Savings,Active,4814.93,2023-02-20,BR0098
ACC0000097,CUST004468,Savings,Active,6070.5,2018-07-02,BR0044
ACC0000098,CUST000198,Line of Credit,Active,4002.61,2024-12-03,BR0090
ACC0000099,CUST000888,Savings,Active,3040.41,2024-06-15,BR0010
ACC0000100,CUST003736,Savings,Dormant,5113.18,2021-04-29,BR0078
ACC0000101,CUST003606,Savings,Active,3373.31,2020-12-22,BR0043
ACC0000102,CUST004936,Chequing,Active,2639.7,2018-10-23,BR0004
ACC0000103,CUST003131,Chequing,Active,1602.38,2020-10-25,BR0069
ACC0000104,CUST004995,Savings,Active,7599.78,2022-04-06,BR0012
ACC0000105,CUST003946,Chequing,Active,5005.53,2024-02-16,BR0050
ACC0000106,CUST004180,Savings,Active,11880.15,2023-08-27,BR0077
ACC0000107,CUST000623,Chequing,Active,5271.06,2023-07-26,BR0027
ACC0000108,CUST000358,Chequing,Active,7578.19,2025-09-10,BR0032
ACC0000109,CUST002292,Line of Credit,Active,4394.53,2023-03-14,BR0024
ACC0000110,CUST001071,Savings,Active,6499.51,2019-11-07,BR0078
ACC0000111,CUST001766,Savings,Active,1612.57,2018-07-05,BR0015
ACC0000112,CUST002378,Chequing,Active,5065.35,2023-05-13,BR0003
ACC0000113,CUST000954,Chequing,Active,3773.77,2018-10-29,BR0072
ACC0000114,CUST004265,Chequing,Active,11204.74,2023-05-21,BR0068
ACC0000115,CUST004099,Chequing,Active,7295.62,2024-05-21,BR0059
ACC0000116,CUST003464,Chequing,Active,10334.25,2018-06-19,BR0081
ACC0000117,CUST004120,Savings,Active,12611.19,2020-03-13,BR0097
ACC0000118,CUST001281,Savings,Active,4807.06,2019-07-19,BR0081
ACC0000119,CUST002443,Chequing,Active,7113.83,2018-10-06,BR0009
ACC0000120,CUST002505,Savings,Active,3161.85,2019-11-10,BR0073
ACC0000121,CUST004818,Line of Credit,Active,8248.86,2019-11-08,BR0011
ACC0000122,CUST002087,Chequing,Dormant,8944.61,2026-04-24,BR0100
ACC0000123,CUST000496,Savings,Active,7926.47,2021-10-29,BR0025
ACC0000124,CUST004277,Line of Credit,Active,4803.64,2019-01-25,BR0076
ACC0000125,CUST004141,Savings,Active,16929.86,2019-12-12,BR0044
ACC0000126,CUST000715,Line of Credit,Active,6721.73,2022-02-26,BR0015
ACC0000127,CUST002068,Chequing,Active,27267.7,2024-04-12,BR0099
ACC0000128,CUST002673,Savings,Active,3174.74,2026-02-12,BR0052
ACC0000129,CUST000225,Chequing,Active,9429.5,2024-01-06,BR0024
ACC0000130,CUST002921,Line of Credit,Active,11391.94,2019-10-07,BR0061
ACC0000131,CUST002430,Line of Credit,Active,3218.0,2019-05-28,BR0064
ACC0000132,CUST000562,Chequing,Active,5671.75,2021-09-17,BR0080
ACC0000133,CUST004333,Chequing,Active,2433.51,2021-04-27,BR0032
ACC0000134,CUST004817,Savings,Active,12879.94,2024-01-14,BR0081
ACC0000135,CUST002125,Chequing,Active,6258.88,2019-04-28,BR0057
ACC0000136,CUST000428,Line of Credit,Active,3784.96,2023-02-12,BR0046
ACC0000137,CUST003908,Chequing,Active,11474.56,2025-03-28,BR0014
ACC0000138,CUST000477,Chequing,Active,6612.5,2018-07-19,BR0019
ACC0000139,CUST004903,Savings,Active,10602.41,2018-11-16,BR0029
ACC0000140,CUST004600,Savings,Active,8551.24,2018-11-02,BR0026
ACC0000141,CUST002435,Chequing,Active,3450.08,2018-09-23,BR0020
ACC0000142,CUST000075,Savings,Active,4700.81,2018-04-17,BR0049
ACC0000143,CUST002985,Savings,Active,3854.66,2022-01-24,BR0051
ACC0000144,CUST003101,Chequing,Active,3026.48,2025-03-30,BR0027
ACC0000145,CUST000522,Chequing,Active,1986.19,2025-11-12,BR0014
ACC0000146,CUST001879,Line of Credit,Active,18802.07,2022-07-15,BR0032
ACC0000147,CUST003651,Chequing,Closed,7841.81,2023-11-11,BR0073
ACC0000148,CUST003681,Line of Credit,Active,8520.32,2023-08-13,BR0057
ACC0000149,CUST002968,Chequing,Active,12192.94,2022-06-24,BR0048
ACC0000150,CUST002147,Line of Credit,Active,4670.69,2024-04-30,BR0006
ACC0000151,CUST004205,Savings,Active,2564.97,2022-09-21,BR0005
ACC0000152,CUST000962,Line of Credit,Active,10081.45,2019-03-29,BR0099
ACC0000153,CUST002488,Savings,Active,2870.35,2021-07-28,BR0048
ACC0000154,CUST004609,Chequing,Active,9946.43,2023-12-05,BR0021
ACC0000155,CUST004072,Savings,Active,2285.08,2024-02-12,BR0081
ACC0000156,CUST002628,Savings,Active,2726.08,2022-06-18,BR0010
ACC0000157,CUST002233,Line of Credit,Active,4377.01,2024-01-01,BR0062
ACC0000158,CUST000437,Savings,Active,9735.44,2022-08-06,BR0048
ACC0000159,CUST000827,Chequing,Active,15699.59,2023-11-29,BR0068
ACC0000160,CUST002097,Chequing,Dormant,8512.44,2018-06-13,BR0053
ACC0000161,CUST003119,Chequing,Active,4488.74,2025-07-20,BR0025
ACC0000162,CUST002948,Line of Credit,Active,11116.94,2018-05-29,BR0097
ACC0000163,CUST004458,Line of Credit,Active,2234.13,2020-11-12,BR0060
ACC0000164,CUST002623,Chequing,Dormant,3576.78,2019-05-03,BR0077
ACC0000165,CUST003717,Savings,Active,6996.83,2019-06-30,BR0080
ACC0000166,CUST004465,Line of Credit,Active,10269.17,2025-09-15,BR0010
ACC0000167,CUST000932,Chequing,Active,5850.55,2019-12-27,BR0043
ACC0000168,CUST000238,Savings,Active,5469.94,2022-08-20,BR0072
ACC0000169,CUST004810,Chequing,Active,5670.45,2025-11-28,BR0069
ACC0000170,CUST001280,Chequing,Active,12132.02,2019-12-09,BR0009
ACC0000171,CUST000329,Line of Credit,Dormant,4023.42,2020-11-10,BR0076
ACC0000172,CUST004531,Chequing,Active,3416.09,2020-10-16,BR0039
ACC0000173,CUST002757,Savings,Active,5615.25,2021-02-20,BR0081
ACC0000174,CUST001953,Savings,Active,13078.2,2020-03-21,BR0031
ACC0000175,CUST000499,Chequing,Active,4329.05,2025-12-22,BR0054
ACC0000176,CUST001761,Chequing,Active,5659.43,2019-05-09,BR0014
ACC0000177,CUST003516,Chequing,Active,2206.9,2024-10-02,BR0058
ACC0000178,CUST002230,Line of Credit,Active,5806.25,2025-05-30,BR0061
ACC0000179,CUST004535,Line of Credit,Active,7620.38,2021-02-23,BR0057
ACC0000180,CUST000598,Chequing,Active,2873.45,2018-08-08,BR0004
ACC0000181,CUST000651,Line of Credit,Active,12144.72,2023-10-23,BR0022
ACC0000182,CUST002902,Line of Credit,Active,7562.61,2024-09-09,BR0011
ACC0000183,CUST001677,Line of Credit,Active,4768.45,2023-12-25,BR0007
ACC0000184,CUST004160,Chequing,Active,7595.96,2024-03-21,BR0028
ACC0000185,CUST002344,Savings,Active,8802.83,2021-10-24,BR0033
ACC0000186,CUST001162,Savings,Active,1775.76,2026-01-07,BR0097
ACC0000187,CUST000864,Savings,Active,7768.12,2024-07-01,BR0047
ACC0000188,CUST000817,Savings,Active,12821.35,2021-01-04,BR0031
ACC0000189,CUST004499,Chequing,Active,3986.31,2024-01-06,BR0052
ACC0000190,CUST003897,Chequing,Active,4833.38,2024-07-30,BR0094
ACC0000191,CUST004240,Chequing,Active,5347.36,2019-09-25,BR0088
ACC0000192,CUST004752,Savings,Active,10334.53,2026-03-09,BR0044
ACC0000193,CUST001121,Savings,Dormant,3223.52,2022-11-23,BR0002
ACC0000194,CUST004600,Line of Credit,Active,8570.17,2021-06-05,BR0100
ACC0000195,CUST000892,Chequing,Active,5409.97,2021-05-30,BR0044
ACC0000196,CUST004058,Line of Credit,Active,16108.28,2021-10-04,BR0070
ACC0000197,CUST003946,Line of Credit,Active,5606.54,2025-01-20,BR0016
ACC0000198,CUST003554,Savings,Active,1113.24,2024-12-27,BR0040
ACC0000199,CUST004439,Chequing,Active,9499.41,2020-01-09,BR0056
ACC0000200,CUST003108,Savings,Active,8319.93,2021-12-21,BR0084
ACC0000201,CUST003870,Savings,Active,7374.44,2021-05-23,BR0022
ACC0000202,CUST004442,Savings,Active,12626.3,2022-05-31,BR0059
ACC0000203,CUST001775,Chequing,Active,1977.08,2020-02-26,BR0023
ACC0000204,CUST000878,Chequing,Active,3612.65,2023-11-20,BR0032
ACC0000205,CUST004576,Savings,Active,6479.58,2021-05-12,BR0073
ACC0000206,CUST001289,Savings,Active,7143.42,2021-11-12,BR0095
ACC0000207,CUST001130,Chequing,Closed,5919.78,2024-07-22,BR0018
ACC0000208,CUST002682,Savings,Active,2231.6,2019-02-08,BR0032
ACC0000209,CUST003299,Line of Credit,Active,4863.35,2018-11-16,BR0079
ACC0000210,CUST001114,Savings,Active,15484.9,2025-03-31,BR0077
ACC0000211,CUST003952,Savings,Active,3118.09,2021-12-27,BR0026
ACC0000212,CUST001608,Chequing,Active,6393.4,2023-03-03,BR0012
ACC0000213,CUST002573,Line of Credit,Active,8588.61,2023-07-01,BR0035
ACC0000214,CUST004827,Savings,Active,10165.26,2019-10-22,BR0033
ACC0000215,CUST004378,Line of Credit,Active,9473.41,2022-11-27,BR0058
ACC0000216,CUST000873,Line of Credit,Active,4641.05,2020-10-27,BR0048
ACC0000217,CUST003173,Line of Credit,Active,3602.29,2020-09-03,BR0047
ACC0000218,CUST003491,Savings,Active,16179.43,2020-02-09,BR0032
ACC0000219,CUST000160,Line of Credit,Active,10730.44,2020-10-01,BR0077
ACC0000220,CUST000444,Line of Credit,Active,6761.81,2022-10-26,BR0007
ACC0000221,CUST003109,Line of Credit,Active,13843.02,2024-02-21,BR0028
ACC0000222,CUST002906,Line of Credit,Active,2202.04,2024-07-24,BR0055
ACC0000223,CUST002309,Line of Credit,Active,2576.12,2020-06-04,BR0046
ACC0000224,CUST004665,Savings,Dormant,1142.31,2022-10-27,BR0012
ACC0000225,CUST002450,Line of Credit,Active,7095.46,2024-11-05,BR0082
ACC0000226,CUST001302,Line of Credit,Active,7295.13,2026-01-04,BR0095
ACC0000227,CUST002659,Line of Credit,Active,2405.98,2025-11-19,BR0042
ACC0000228,CUST001143,Savings,Active,10512.46,2021-09-23,BR0076
ACC0000229,CUST003775,Savings,Active,1540.47,2025-08-09,BR0077
ACC0000230,CUST004072,Savings,Active,8020.89,2018-10-04,BR0097
ACC0000231,CUST001801,Chequing,Active,9094.81,2025-05-11,BR0020
ACC0000232,CUST002170,Savings,Dormant,7045.51,2019-10-09,BR0048
ACC0000233,CUST003490,Chequing,Active,2165.18,2026-03-13,BR0089
ACC0000234,CUST001267,Chequing,Active,12551.51,2022-08-17,BR0009
ACC0000235,CUST002583,Savings,Active,4739.86,2026-02-12,BR0024
ACC0000236,CUST002061,Line of Credit,Active,4749.48,2019-06-03,BR0099
ACC0000237,CUST000224,Savings,Active,4169.59,2024-09-15,BR0056
ACC0000238,CUST001664,Line of Credit,Active,9659.66,2023-08-13,BR0072
ACC0000239,CUST002668,Line of Credit,Active,4598.9,2025-11-28,BR0047
ACC0000240,CUST001732,Savings,Active,2918.61,2021-10-05,BR0088
ACC0000241,CUST003255,Savings,Active,11206.49,2025-03-20,BR0076
ACC0000242,CUST000445,Chequing,Active,6301.72,2025-03-09,BR0062
ACC0000243,CUST000403,Savings,Active,11426.84,2024-12-27,BR0087
ACC0000244,CUST000860,Chequing,Closed,6584.95,2021-09-07,BR0035
ACC0000245,CUST001970,Line of Credit,Active,3987.87,2018-08-11,BR0076
ACC0000246,CUST004860,Savings,Active,1730.4,2021-02-22,BR0046
ACC0000247,CUST001142,Savings,Active,7113.35,2018-08-07,BR0047
ACC0000248,CUST000170,Savings,Active,5354.55,2025-08-11,BR0023
ACC0000249,CUST003654,Line of Credit,Active,9887.98,2022-06-05,BR0070
ACC0000250,CUST004473,Savings,Active,4464.24,2024-11-12,BR0084
ACC0000251,CUST001425,Line of Credit,Active,8161.8,2023-08-05,BR0020
ACC0000252,CUST004229,Line of Credit,Active,6424.56,2022-03-29,BR0051
ACC0000253,CUST003839,Savings,Active,3762.11,2020-07-29,BR0019
ACC0000254,CUST004610,Savings,Active,4692.94,2025-12-16,BR0042
ACC0000255,CUST000306,Savings,Active,2535.04,2024-02-11,BR0073
ACC0000256,CUST000536,Savings,Active,16803.99,2025-11-24,BR0003
ACC0000257,CUST004585,Savings,Active,8060.09,2018-10-19,BR0062
ACC0000258,CUST004475,Savings,Active,2414.5,2025-10-21,BR0036
ACC0000259,CUST000793,Savings,Active,16327.83,2024-11-28,BR0080
ACC0000260,CUST004719,Savings,Closed,3088.93,2024-09-27,BR0010
ACC0000261,CUST002930,Line of Credit,Active,4415.45,2021-09-04,BR0054
ACC0000262,CUST004400,Chequing,Active,5596.69,2020-12-22,BR0028
ACC0000263,CUST000420,Line of Credit,Active,6518.4,2020-12-24,BR0032
ACC0000264,CUST001963,Savings,Dormant,9738.57,2020-12-20,BR0027
ACC0000265,CUST002312,Line of Credit,Active,1428.66,2021-09-16,BR0062
ACC0000266,CUST002719,Line of Credit,Active,6580.31,2019-02-08,BR0073
ACC0000267,CUST004868,Chequing,Active,5419.98,2018-06-08,BR0086
ACC0000268,CUST004845,Savings,Active,7189.04,2019-10-09,BR0029
ACC0000269,CUST003615,Savings,Active,5255.62,2020-01-23,BR0020
ACC0000270,CUST004030,Chequing,Active,4826.02,2022-03-16,BR0048
ACC0000271,CUST001564,Line of Credit,Active,5997.01,2021-12-23,BR0045
ACC0000272,CUST000463,Savings,Dormant,15829.68,2023-01-21,BR0035
ACC0000273,CUST004419,Savings,Active,4885.12,2025-02-26,BR0082
ACC0000274,CUST000880,Savings,Active,12234.98,2025-05-25,BR0053
ACC0000275,CUST001241,Chequing,Active,7010.33,2023-03-31,BR0066
ACC0000276,CUST001272,Line of Credit,Active,6817.96,2025-05-10,BR0028
ACC0000277,CUST001498,Chequing,Active,7229.54,2020-11-10,BR0019
ACC0000278,CUST002928,Savings,Active,8572.72,2024-05-13,BR0053
ACC0000279,CUST001451,Savings,Active,5125.51,2020-06-10,BR0029
ACC0000280,CUST000970,Savings,Active,11767.65,2024-06-15,BR0092
ACC0000281,CUST001145,Line of Credit,Active,8584.89,2025-02-28,BR0013
ACC0000282,CUST004003,Line of Credit,Active,2697.14,2022-05-04,BR0013
ACC0000283,CUST002452,Savings,Active,1121.76,2020-04-05,BR0046
ACC0000284,CUST002165,Line of Credit,Active,15560.42,2024-10-29,BR0038
ACC0000285,CUST004487,Savings,Active,7364.98,2025-10-20,BR0089
ACC0000286,CUST000478,Chequing,Active,2466.58,2021-12-01,BR0031
ACC0000287,CUST000945,Savings,Active,4880.8,2021-03-21,BR0003
ACC0000288,CUST000842,Savings,Active,10727.54,2019-10-02,BR0021
ACC0000289,CUST000119,Line of Credit,Active,5781.83,2023-02-02,BR0052
ACC0000290,CUST001663,Savings,Active,6104.53,2024-12-18,BR0012
ACC0000291,CUST000736,Chequing,Active,9623.16,2019-08-27,BR0091
ACC0000292,CUST004803,Chequing,Active,7779.87,2021-01-11,BR0005
ACC0000293,CUST002878,Savings,Active,8946.07,2024-09-28,BR0080
ACC0000294,CUST003845,Savings,Active,9565.57,2023-12-27,BR0083
ACC0000295,CUST002714,Savings,Active,4061.53,2024-03-17,BR0020
ACC0000296,CUST004817,Savings,Active,4314.22,2025-01-13,BR0020
ACC0000297,CUST004201,Line of Credit,Active,3746.14,2023-06-24,BR0044
ACC0000298,CUST001513,Line of Credit,Active,4468.46,2019-11-15,BR0082
ACC0000299,CUST001893,Chequing,Active,5961.33,2023-06-16,BR0064
ACC0000300,CUST001475,Savings,Active,6227.58,2021-01-10,BR0007
ACC0000301,CUST003881,Line of Credit,Active,13608.43,2021-04-03,BR0080
ACC0000302,CUST000087,Line of Credit,Active,7563.47,2024-02-05,BR0084
ACC0000303,CUST001537,Line of Credit,Active,6032.97,2018-05-21,BR0049
ACC0000304,CUST004974,Savings,Active,3218.98,2025-09-23,BR0058
ACC0000305,CUST004596,Chequing,Active,5324.49,2020-06-28,BR0054
ACC0000306,CUST002828,Savings,Active,16213.84,2019-06-06,BR0097
ACC0000307,CUST000940,Line of Credit,Active,16072.01,2022-09-20,BR0039
ACC0000308,CUST003262,Line of Credit,Active,5283.98,2022-07-17,BR0019
ACC0000309,CUST001139,Line of Credit,Active,1906.85,2022-07-25,BR0029
ACC0000310,CUST002029,Line of Credit,Active,4853.19,2021-11-12,BR0072
ACC0000311,CUST004553,Savings,Active,13691.03,2025-11-14,BR0021
ACC0000312,CUST002781,Savings,Active,5986.45,2019-09-29,BR0068
ACC0000313,CUST001367,Line of Credit,Active,9628.75,2021-06-24,BR0089
ACC0000314,CUST003470,Line of Credit,Dormant,6410.48,2019-07-30,BR0057
ACC0000315,CUST000732,Savings,Active,2324.41,2019-12-17,BR0069
ACC0000316,CUST004999,Savings,Active,6548.1,2019-04-20,BR0026
ACC0000317,CUST001065,Savings,Active,10358.14,2023-05-11,BR0003
ACC0000318,CUST002690,Savings,Active,4428.31,2025-12-13,BR0070
ACC0000319,CUST001588,Savings,Dormant,10204.82,2023-04-23,BR0001
ACC0000320,CUST001704,Savings,Active,6796.06,2020-03-10,BR0077
ACC0000321,CUST002664,Savings,Active,9899.35,2023-06-26,BR0062
ACC0000322,CUST004635,Chequing,Active,7844.98,2019-09-09,BR0062
ACC0000323,CUST000053,Line of Credit,Active,3365.44,2021-11-14,BR0067
ACC0000324,CUST004645,Line of Credit,Dormant,5358.37,2024-10-17,BR0085
ACC0000325,CUST000740,Chequing,Active,5251.55,2022-11-04,BR0072
ACC0000326,CUST004378,Savings,Active,4294.08,2024-02-02,BR0078
ACC0000327,CUST001337,Line of Credit,Active,7487.71,2018-09-09,BR0070
ACC0000328,CUST003168,Line of Credit,Active,17822.74,2026-03-13,BR0077
ACC0000329,CUST002827,Line of Credit,Active,11776.2,2022-10-26,BR0051
ACC0000330,CUST001743,Chequing,Active,12659.14,2026-05-03,BR0007
ACC0000331,CUST000291,Chequing,Active,4126.35,2020-04-06,BR0015
ACC0000332,CUST000208,Savings,Active,12776.16,2025-03-01,BR0023
ACC0000333,CUST003552,Line of Credit,Active,15139.4,2026-04-18,BR0080
ACC0000334,CUST000734,Chequing,Active,4038.34,2024-11-03,BR0068
ACC0000335,CUST000381,Savings,Active,8354.04,2024-10-20,BR0077
ACC0000336,CUST005000,Line of Credit,Active,8481.78,2019-01-30,BR0094
ACC0000337,CUST002305,Savings,Active,5599.75,2024-08-02,BR0023
ACC0000338,CUST003324,Line of Credit,Active,7140.4,2026-01-01,BR0064
ACC0000339,CUST003160,Chequing,Dormant,8721.55,2022-01-11,BR0029
ACC0000340,CUST000717,Line of Credit,Active,5831.09,2023-11-06,BR0033
ACC0000341,CUST002746,Line of Credit,Active,11464.36,2022-12-31,BR0061
ACC0000342,CUST000100,Savings,Active,2707.72,2019-04-24,BR0064
ACC0000343,CUST004098,Chequing,Active,5237.48,2026-05-07,BR0057
ACC0000344,CUST000924,Chequing,Active,9737.94,2020-07-14,BR0080
ACC0000345,CUST004866,Savings,Active,16791.46,2025-03-04,BR0011
ACC0000346,CUST004021,Line of Credit,Active,11869.2,2025-06-25,BR0043
ACC0000347,CUST004111,Line of Credit,Active,7054.26,2025-06-19,BR0036
ACC0000348,CUST002625,Line of Credit,Active,6002.6,2023-10-20,BR0095
ACC0000349,CUST002037,Chequing,Active,5422.33,2024-01-13,BR0047
ACC0000350,CUST001387,Line of Credit,Active,5442.37,2024-03-11,BR0098
ACC0000351,CUST001488,Chequing,Active,1721.39,2019-05-02,BR0087
ACC0000352,CUST000749,Chequing,Active,16411.91,2022-11-25,BR0078
ACC0000353,CUST004875,Chequing,Active,6276.39,2019-08-30,BR0007
ACC0000354,CUST000057,Line of Credit,Dormant,3873.93,2025-04-24,BR0012
ACC0000355,CUST001071,Line of Credit,Active,8279.1,2025-10-16,BR0100
ACC0000356,CUST000807,Line of Credit,Active,4077.54,2023-11-27,BR0034
ACC0000357,CUST002134,Savings,Active,10857.24,2020-12-09,BR0081
ACC0000358,CUST004704,Line of Credit,Active,3954.93,2021-12-09,BR0071
ACC0000359,CUST004820,Chequing,Active,9989.73,2024-08-22,BR0052
ACC0000360,CUST004191,Chequing,Active,5373.58,2022-11-01,BR0034
ACC0000361,CUST001245,Chequing,Active,7657.61,2019-11-13,BR0011
ACC0000362,CUST004848,Savings,Active,10420.09,2020-09-11,BR0071
