card_id,customer_id,account_id,card_type,card_status,credit_limit,issue_date
CARD0000089,CUST002114,ACC0002174,Visa Infinite,Active,5000.0,2026-01-06
CARD0000090,CUST000993,ACC0000484,Visa Infinite,Active,5000.0,2024-08-13
CARD0000091,CUST004219,ACC0003814,Visa Infinite,Active,5000.0,2021-11-07
CARD0000092,CUST002033,ACC0004415,Visa Classic,Active,10000.0,2025-07-21
CARD0000093,CUST004895,ACC0000519,Visa Infinite,Active,1000.0,2022-07-02
CARD0000094,CUST002304,ACC0006989,Cash Back,Active,1000.0,2023-03-14
CARD0000095,CUST003318,ACC0001346,Travel Rewards,Active,1000.0,2025-06-04
CARD0000096,CUST000058,ACC0000697,Cash Back,Active,2500.0,2023-09-01
CARD0000097,CUST001274,ACC0001010,Visa Infinite,Active,20000.0,2024-08-17
CARD0000098,CUST003119,ACC0006318,Travel Rewards,Blocked,7500.0,2025-08-31
CARD0000099,CUST001350,ACC0006596,Visa Classic,Active,10000.0,2022-07-12
CARD0000100,CUST000054,ACC0002771,Visa Infinite,Active,15000.0,2024-01-07
CARD0000101,CUST001607,ACC0001075,Visa Classic,Active,5000.0,2022-07-07
CARD0000102,CUST002897,ACC0001340,Visa Infinite,Active,15000.0,2026-01-29
CARD0000103,CUST000077,ACC0002987,Visa Infinite,Active,7500.0,2024-08-08
CARD0000104,CUST000958,ACC0007710,Visa Infinite,Blocked,1000.0,2025-05-13
CARD0000105,CUST004132,ACC0006748,Travel Rewards,Active,7500.0,2023-02-04
CARD0000106,CUST002713,ACC0004422,Visa Infinite,Active,2500.0,2023-10-11
CARD0000107,CUST003369,ACC0003393,Visa Classic,Active,2500.0,2022-07-10
CARD0000108,CUST002218,ACC0001484,Visa Infinite,Active,1000.0,2022-07-04
CARD0000109,CUST001972,ACC0004862,Visa Infinite,Active,2500.0,2025-12-23
CARD0000110,CUST001597,ACC0001935,Visa Classic,Closed,2500.0,2025-07-07
CARD0000111,CUST001865,ACC0001035,Visa Classic,Active,10000.0,2024-08-23
CARD0000112,CUST002667,ACC0005485,Cash Back,Active,10000.0,2025-01-02
CARD0000113,CUST001736,ACC0002479,Travel Rewards,Active,5000.0,2021-11-04
CARD0000114,CUST001387,ACC0000350,Visa Classic,Active,15000.0,2025-02-08
CARD0000115,CUST000700,ACC0004394,Travel Rewards,Active,1000.0,2023-06-02
CARD0000116,CUST001575,ACC0004353,Visa Infinite,Active,1000.0,2024-03-15
CARD0000117,CUST003175,ACC0007558,Cash Back,Active,7500.0,2022-05-26
CARD0000118,CUST003265,ACC0001062,Cash Back,Active,10000.0,2024-02-08
CARD0000119,CUST002997,ACC0000880,Visa Infinite,Active,7500.0,2026-05-15
CARD0000120,CUST000744,ACC0005603,Visa Classic,Active,7500.0,2022-03-26
CARD0000121,CUST002344,ACC0002543,Visa Classic,Active,2500.0,2025-02-16
CARD0000122,CUST001372,ACC0006424,Travel Rewards,Active,15000.0,2024-05-06
CARD0000123,CUST001227,ACC0006745,Cash Back,Active,5000.0,2026-01-15
CARD0000124,CUST003552,ACC0001851,Travel Rewards,Active,1000.0,2021-09-06
CARD0000125,CUST000720,ACC0005403,Cash Back,Closed,7500.0,2025-07-29
CARD0000126,CUST003493,ACC0001678,Cash Back,Active,2500.0,2023-07-24
CARD0000127,CUST002387,ACC0001836,Visa Infinite,Active,7500.0,2021-08-12
CARD0000128,CUST002838,ACC0007112,Visa Classic,Active,20000.0,2022-09-15
CARD0000129,CUST003602,ACC0004953,Travel Rewards,Active,15000.0,2025-06-14
CARD0000130,CUST000306,ACC0004705,Visa Infinite,Closed,5000.0,2023-02-05
CARD0000131,CUST000359,ACC0005200,Visa Classic,Active,2500.0,2023-03-16
CARD0000132,CUST002219,ACC0000458,Cash Back,Active,7500.0,2022-04-04
CARD0000133,CUST000356,ACC0004648,Cash Back,Active,2500.0,2023-01-19
CARD0000134,CUST004358,ACC0006508,Visa Infinite,Active,1000.0,2026-01-02
CARD0000135,CUST004227,ACC0003183,Visa Classic,Active,5000.0,2024-09-10
CARD0000136,CUST003113,ACC0005338,Visa Classic,Active,2500.0,2024-02-22
CARD0000137,CUST000934,ACC0001946,Visa Infinite,Active,10000.0,2025-12-19
CARD0000138,CUST003588,ACC0006125,Cash Back,Blocked,1000.0,2025-10-19
CARD0000139,CUST000506,ACC0003264,Visa Infinite,Active,2500.0,2025-01-29
CARD0000140,CUST003593,ACC0006523,Cash Back,Active,1000.0,2022-10-05
CARD0000141,CUST004530,ACC0006522,Visa Classic,Active,10000.0,2022-05-04
CARD0000142,CUST001877,ACC0006703,Visa Classic,Active,20000.0,2023-03-20
CARD0000143,CUST002456,ACC0002989,Travel Rewards,Active,15000.0,2022-08-24
CARD0000144,CUST002515,ACC0007021,Visa Classic,Active,1000.0,2026-05-25
CARD0000145,CUST004275,ACC0001551,Visa Infinite,Active,10000.0,2025-02-16
CARD0000146,CUST000148,ACC0002165,Visa Infinite,Active,1000.0,2021-08-07
CARD0000147,CUST002730,ACC0000587,Travel Rewards,Active,20000.0,2025-06-03
CARD0000148,CUST002207,ACC0002406,Visa Infinite,Active,20000.0,2024-09-05
CARD0000149,CUST004423,ACC0006801,Visa Classic,Active,10000.0,2021-09-18
CARD0000150,CUST002808,ACC0003429,Visa Classic,Active,20000.0,2023-07-22
CARD0000151,CUST004948,ACC0002610,Visa Classic,Active,20000.0,2024-02-19
CARD0000152,CUST003880,ACC0003657,Travel Rewards,Active,5000.0,2023-06-20
CARD0000153,CUST002176,ACC0003215,Visa Classic,Active,7500.0,2022-11-08
CARD0000154,CUST001236,ACC0003535,Cash Back,Active,10000.0,2025-03-04
CARD0000155,CUST000107,ACC0003287,Cash Back,Active,15000.0,2025-10-31
CARD0000156,CUST001539,ACC0002081,Travel Rewards,Active,7500.0,2025-10-04
CARD0000157,CUST004388,ACC0006956,Cash Back,Blocked,20000.0,2021-09-12
CARD0000158,CUST000629,ACC0006488,Visa Classic,Active,2500.0,2022-05-25
CARD0000159,CUST002068,ACC0000648,Visa Infinite,Active,1000.0,2022-03-04
CARD0000160,CUST002309,ACC0000223,Cash Back,Active,15000.0,2024-07-15
CARD0000161,CUST003902,ACC0006890,Travel Rewards,Active,2500.0,2024-05-21
CARD0000162,CUST001887,ACC0007679,Visa Infinite,Active,1000.0,2024-11-22
CARD0000163,CUST001531,ACC0000024,Travel Rewards,Active,15000.0,2023-10-26
CARD0000164,CUST002343,ACC0001906,Cash Back,Active,15000.0,2022-12-19
CARD0000165,CUST001983,ACC0004079,Travel Rewards,Active,10000.0,2024-11-23
CARD0000166,CUST003981,ACC0001555,Visa Classic,Active,10000.0,2023-12-08
CARD0000167,CUST003492,ACC0005724,Cash Back,Active,15000.0,2026-02-03
CARD0000168,CUST000335,ACC0005205,Travel Rewards,Active,7500.0,2022-03-17
CARD0000169,CUST002556,ACC0007701,Visa Classic,Active,10000.0,2025-11-22
CARD0000170,CUST003983,ACC0005841,Travel Rewards,Active,10000.0,2023-02-09
CARD0000171,CUST002630,ACC0004946,Cash Back,Active,1000.0,2022-03-16
CARD0000172,CUST001738,ACC0001408,Visa Classic,Active,1000.0,2024-09-12
CARD0000173,CUST002612,ACC0000066,Travel Rewards,Blocked,7500.0,2024-04-19
CARD0000174,CUST002144,ACC0006341,Cash Back,Active,5000.0,2026-03-18
CARD0000175,CUST001324,ACC0001045,Travel Rewards,Active,7500.0,2024-01-25
CARD0000176,CUST003675,ACC0006689,Visa Infinite,Active,15000.0,2023-02-23
CARD0000177,CUST002018,ACC0007925,Visa Infinite,Active,2500.0,2022-06-10
CARD0000178,CUST000711,ACC0004744,Visa Infinite,Active,5000.0,2025-03-19
CARD0000179,CUST001802,ACC0002032,Cash Back,Active,15000.0,2022-06-27
CARD0000180,CUST004684,ACC0005825,Visa Infinite,Active,2500.0,2022-01-27
CARD0000181,CUST004629,ACC0005245,Cash Back,Active,20000.0,2023-04-11
CARD0000182,CUST003047,ACC0005037,Visa Infinite,Active,5000.0,2023-12-15
CARD0000183,CUST001419,ACC0000555,Cash Back,Active,5000.0,2024-09-03
CARD0000184,CUST002308,ACC0007312,Visa Infinite,Active,1000.0,2026-02-21
CARD0000185,CUST000710,ACC0004395,Visa Classic,Active,2500.0,2021-11-24
CARD0000186,CUST003975,ACC0005395,Cash Back,Active,15000.0,2026-03-10
CARD0000187,CUST000999,ACC0003536,Cash Back,Active,2500.0,2024-06-23
CARD0000188,CUST001185,ACC0001700,Visa Classic,Active,15000.0,2026-02-02
CARD0000189,CUST003198,ACC0006727,Travel Rewards,Active,15000.0,2022-05-03
CARD0000190,CUST000147,ACC0001056,Cash Back,Active,20000.0,2025-05-08
CARD0000191,CUST003562,ACC0001407,Cash Back,Active,5000.0,2022-04-10
CARD0000192,CUST000901,ACC0003768,Visa Classic,Active,7500.0,2022-07-23
CARD0000193,CUST004584,ACC0000602,Travel Rewards,Active,10000.0,2022-11-25
CARD0000194,CUST001107,ACC0001384,Visa Classic,Active,5000.0,2025-04-09
CARD0000195,CUST000850,ACC0003333,Cash Back,Active,1000.0,2024-07-13
CARD0000196,CUST002350,ACC0002119,Visa Classic,Active,20000.0,2024-01-11
CARD0000197,CUST003583,ACC0004320,Visa Infinite,Active,5000.0,2024-02-19
CARD0000198,CUST000464,ACC0001913,Visa Infinite,Active,2500.0,2023-08-07
CARD0000199,CUST002960,ACC0003685,Travel Rewards,Active,15000.0,2024-11-12
CARD0000200,CUST002800,ACC0007583,Cash Back,Active,5000.0,2026-05-25
CARD0000201,CUST000387,ACC0004814,Visa Classic,Active,20000.0,2024-01-06
CARD0000202,CUST004577,ACC0001741,Visa Classic,Active,15000.0,2025-11-27
CARD0000203,CUST000220,ACC0005040,Visa Classic,Active,7500.0,2023-06-24
CARD0000204,CUST004584,ACC0000928,Visa Classic,Active,7500.0,2023-10-29
CARD0000205,CUST004612,ACC0005139,Visa Infinite,Active,10000.0,2023-02-04
CARD0000206,CUST001762,ACC0003579,Visa Classic,Active,7500.0,2023-03-31
CARD0000207,CUST002285,ACC0004443,Visa Infinite,Active,1000.0,2024-04-07
CARD0000208,CUST002172,ACC0007473,Visa Classic,Active,5000.0,2023-04-12
CARD0000209,CUST000181,ACC0007129,Visa Infinite,Active,15000.0,2024-01-30
CARD0000210,CUST001732,ACC0000240,Travel Rewards,Active,15000.0,2022-05-09
CARD0000211,CUST001067,ACC0002967,Travel Rewards,Active,15000.0,2026-02-27
CARD0000212,CUST001482,ACC0003543,Visa Infinite,Active,20000.0,2021-10-19
CARD0000213,CUST004929,ACC0006207,Cash Back,Active,7500.0,2023-03-09
CARD0000214,CUST001982,ACC0003211,Cash Back,Active,10000.0,2021-08-30
CARD0000215,CUST004936,ACC0000102,Travel Rewards,Active,5000.0,2024-01-22
CARD0000216,CUST001588,ACC0000319,Travel Rewards,Active,15000.0,2025-05-08
CARD0000217,CUST003588,ACC0004582,Visa Infinite,Active,5000.0,2022-03-02
CARD0000218,CUST000769,ACC0003188,Travel Rewards,Active,10000.0,2024-05-22
CARD0000219,CUST002719,ACC0000534,Visa Infinite,Active,1000.0,2026-02-05
CARD0000220,CUST003330,ACC0000738,Visa Classic,Active,20000.0,2024-06-27
CARD0000221,CUST004268,ACC0001245,Visa Classic,Active,10000.0,2022-02-10
CARD0000222,CUST003700,ACC0001143,Visa Classic,Active,2500.0,2024-02-27
CARD0000223,CUST004935,ACC0004348,Travel Rewards,Active,5000.0,2024-12-01
CARD0000224,CUST002624,ACC0007288,Visa Classic,Active,7500.0,2021-08-19
CARD0000225,CUST003247,ACC0006527,Visa Classic,Active,2500.0,2022-08-11
CARD0000226,CUST000100,ACC0001329,Visa Classic,Active,7500.0,2022-09-01
CARD0000227,CUST002386,ACC0007098,Travel Rewards,Active,10000.0,2025-03-10
CARD0000228,CUST002337,ACC0006614,Travel Rewards,Active,2500.0,2023-02-18
CARD0000229,CUST002221,ACC0001929,Travel Rewards,Active,7500.0,2026-05-03
CARD0000230,CUST003211,ACC0005005,Visa Infinite,Active,10000.0,2024-10-12
CARD0000231,CUST001349,ACC0000497,Visa Classic,Blocked,20000.0,2024-04-28
CARD0000232,CUST003057,ACC0007545,Visa Infinite,Active,5000.0,2025-05-12
CARD0000233,CUST000959,ACC0002772,Cash Back,Active,15000.0,2022-05-05
CARD0000234,CUST000714,ACC0000473,Cash Back,Closed,5000.0,2024-02-14
CARD0000235,CUST002307,ACC0005051,Travel Rewards,Active,20000.0,2025-11-15
CARD0000236,CUST002718,ACC0004077,Visa Infinite,Active,7500.0,2025-01-27
CARD0000237,CUST002802,ACC0003917,Visa Infinite,Active,2500.0,2024-05-12
CARD0000238,CUST002200,ACC0000545,Travel Rewards,Active,5000.0,2024-07-17
CARD0000239,CUST002068,ACC0004177,Visa Classic,Active,7500.0,2022-09-14
CARD0000240,CUST002808,ACC0001243,Visa Classic,Active,5000.0,2025-12-27
CARD0000241,CUST002417,ACC0007331,Visa Classic,Active,5000.0,2026-04-07
CARD0000242,CUST002021,ACC0005539,Visa Classic,Blocked,1000.0,2022-04-18
CARD0000243,CUST000381,ACC0000335,Visa Classic,Active,15000.0,2024-09-13
CARD0000244,CUST000934,ACC0007133,Visa Infinite,Active,15000.0,2023-09-11
CARD0000245,CUST003495,ACC0001316,Visa Classic,Active,15000.0,2024-10-29
CARD0000246,CUST000556,ACC0001920,Visa Infinite,Active,1000.0,2023-05-03
CARD0000247,CUST003927,ACC0002185,Cash Back,Active,5000.0,2024-05-09
CARD0000248,CUST004900,ACC0003862,Visa Classic,Active,20000.0,2024-04-20
CARD0000249,CUST000499,ACC0007410,Visa Infinite,Active,20000.0,2026-02-11
CARD0000250,CUST003246,ACC0004646,Visa Classic,Active,2500.0,2022-02-09
CARD0000251,CUST004333,ACC0000133,Visa Classic,Active,15000.0,2024-08-03
CARD0000252,CUST001795,ACC0003961,Visa Infinite,Blocked,15000.0,2021-10-30
CARD0000253,CUST003822,ACC0006352,Visa Infinite,Active,20000.0,2024-09-25
CARD0000254,CUST000076,ACC0002246,Cash Back,Active,5000.0,2025-06-05
CARD0000255,CUST004866,ACC0000541,Cash Back,Active,5000.0,2025-12-10
CARD0000256,CUST001853,ACC0006147,Cash Back,Active,7500.0,2024-05-04
CARD0000257,CUST002115,ACC0002030,Travel Rewards,Active,2500.0,2024-01-24
CARD0000258,CUST003779,ACC0000038,Cash Back,Active,15000.0,2023-12-08
CARD0000259,CUST003676,ACC0007637,Travel Rewards,Active,7500.0,2024-02-03
CARD0000260,CUST003318,ACC0007574,Visa Classic,Blocked,20000.0,2026-03-14
CARD0000261,CUST004311,ACC0002019,Cash Back,Active,7500.0,2023-06-21
CARD0000262,CUST003011,ACC0002112,Visa Infinite,Active,5000.0,2024-03-22
CARD0000263,CUST002184,ACC0002403,Visa Classic,Active,5000.0,2024-01-08
CARD0000264,CUST003636,ACC0000749,Cash Back,Active,10000.0,2024-03-21
CARD0000265,CUST001353,ACC0007568,Visa Classic,Active,2500.0,2024-04-04
CARD0000266,CUST003952,ACC0002457,Visa Infinite,Active,15000.0,2024-10-21
CARD0000267,CUST003878,ACC0007513,Visa Classic,Active,20000.0,2025-01-13
CARD0000268,CUST004889,ACC0002345,Visa Classic,Active,15000.0,2021-08-30
CARD0000269,CUST004323,ACC0000096,Visa Infinite,Active,7500.0,2022-04-11
CARD0000270,CUST004671,ACC0006252,Travel Rewards,Active,5000.0,2022-03-09
CARD0000271,CUST004201,ACC0007865,Visa Classic,Active,1000.0,2022-12-08
CARD0000272,CUST003524,ACC0005224,Travel Rewards,Active,15000.0,2023-05-20
CARD0000273,CUST000237,ACC0002115,Visa Infinite,Active,2500.0,2025-10-23
CARD0000274,CUST003992,ACC0002587,Visa Classic,Active,15000.0,2025-11-26
CARD0000275,CUST003763,ACC0005199,Cash Back,Active,5000.0,2022-08-19
CARD0000276,CUST004101,ACC0003440,Visa Infinite,Active,1000.0,2022-03-27
CARD0000277,CUST000711,ACC0003555,Visa Infinite,Active,7500.0,2021-11-24
CARD0000278,CUST004572,ACC0000454,Cash Back,Active,2500.0,2022-03-22
CARD0000279,CUST000686,ACC0006585,Visa Classic,Active,2500.0,2026-03-08
CARD0000280,CUST004212,ACC0002813,Visa Infinite,Active,2500.0,2023-12-15
CARD0000281,CUST002855,ACC0002837,Cash Back,Active,15000.0,2023-05-15
CARD0000282,CUST004229,ACC0000252,Visa Classic,Active,7500.0,2023-03-13
CARD0000283,CUST000378,ACC0006636,Visa Infinite,Active,7500.0,2024-12-30
CARD0000284,CUST001164,ACC0001023,Visa Infinite,Active,1000.0,2025-04-23
CARD0000285,CUST001353,ACC0007648,Visa Infinite,Active,1000.0,2024-05-16
CARD0000286,CUST000822,ACC0001011,Visa Infinite,Active,15000.0,2024-05-13
CARD0000287,CUST003876,ACC0004650,Visa Infinite,Active,1000.0,2025-04-30
CARD0000288,CUST002131,ACC0006002,Travel Rewards,Active,2500.0,2024-08-07
CARD0000289,CUST001703,ACC0001673,Cash Back,Active,10000.0,2022-03-29
CARD0000290,CUST003962,ACC0000626,Visa Classic,Active,15000.0,2022-07-16
CARD0000291,CUST002409,ACC0007794,Cash Back,Active,10000.0,2024-08-22
CARD0000292,CUST000992,ACC0002111,Visa Infinite,Active,2500.0,2023-05-07
CARD0000293,CUST001369,ACC0001466,Visa Infinite,Active,2500.0,2023-07-25
CARD0000294,CUST000842,ACC0007530,Visa Infinite,Active,2500.0,2023-09-02
CARD0000295,CUST000732,ACC0004735,Visa Classic,Active,20000.0,2025-03-10
CARD0000296,CUST000023,ACC0004267,Cash Back,Active,5000.0,2024-06-17
CARD0000297,CUST003443,ACC0003092,Cash Back,Closed,20000.0,2024-08-07
CARD0000298,CUST001748,ACC0006973,Visa Classic,Active,2500.0,2022-10-11
CARD0000299,CUST003378,ACC0001889,Visa Infinite,Active,10000.0,2026-05-07
CARD0000300,CUST002996,ACC0001609,Visa Classic,Active,20000.0,2022-11-24
CARD0000301,CUST001020,ACC0001745,Cash Back,Active,1000.0,2022-05-31
CARD0000302,CUST000437,ACC0000158,Visa Infinite,Active,1000.0,2022-05-24
CARD0000303,CUST002553,ACC0002440,Cash Back,Active,10000.0,2023-12-29
CARD0000304,CUST001137,ACC0002200,Cash Back,Closed,7500.0,2021-11-11
CARD0000305,CUST001699,ACC0003095,Travel Rewards,Active,20000.0,2023-10-15
CARD0000306,CUST003700,ACC0006214,Visa Infinite,Active,5000.0,2022-04-01
CARD0000307,CUST003020,ACC0000504,Visa Infinite,Active,2500.0,2023-03-03
CARD0000308,CUST003840,ACC0006187,Visa Classic,Active,10000.0,2023-05-23
CARD0000309,CUST004999,ACC0000316,Travel Rewards,Active,7500.0,2025-05-13
CARD0000310,CUST004997,ACC0000711,Travel Rewards,Active,10000.0,2022-09-30
CARD0000311,CUST001990,ACC0003969,Visa Infinite,Active,7500.0,2025-06-03
CARD0000312,CUST003417,ACC0004175,Cash Back,Active,15000.0,2024-12-03
CARD0000313,CUST001387,ACC0003718,Cash Back,Active,15000.0,2022-09-01
CARD0000314,CUST004999,ACC0007083,Travel Rewards,Active,15000.0,2026-01-02
CARD0000315,CUST004515,ACC0000857,Travel Rewards,Active,1000.0,2023-09-13
CARD0000316,CUST003145,ACC0003323,Cash Back,Active,10000.0,2025-11-23
CARD0000317,CUST004176,ACC0005003,Travel Rewards,Active,2500.0,2026-05-06
CARD0000318,CUST001335,ACC0002657,Travel Rewards,Closed,20000.0,2023-02-23
CARD0000319,CUST001704,ACC0000320,Visa Classic,Active,15000.0,2026-01-23
CARD0000320,CUST002208,ACC0000430,Visa Classic,Active,20000.0,2026-05-20
CARD0000321,CUST004332,ACC0001019,Visa Infinite,Active,20000.0,2023-06-09
CARD0000322,CUST000092,ACC0001427,Travel Rewards,Active,1000.0,2025-01-09
CARD0000323,CUST001611,ACC0007943,Visa Infinite,Active,1000.0,2025-06-20
CARD0000324,CUST000156,ACC0003704,Travel Rewards,Active,10000.0,2022-07-27
CARD0000325,CUST002342,ACC0006544,Travel Rewards,Active,15000.0,2023-05-15
CARD0000326,CUST004506,ACC0002108,Cash Back,Active,7500.0,2025-05-05
CARD0000327,CUST000006,ACC0007146,Cash Back,Active,10000.0,2025-10-06
CARD0000328,CUST000648,ACC0006606,Visa Infinite,Active,2500.0,2025-03-06
